tag,dt,day0,day1,day2,total,HYDRO_MAKE_EDGE,VELVET_MAKE_EDGE,VELVET_TAKE_THRESH,DEEP_ITM_MAKE_EDGE,SMILE_Z_TAKE,HYDRO_SKEW,VELVET_SKEW,DEEP_ITM_SKEW,FV_ALPHA_HYDRO,FV_ALPHA_VELVET
baseline,13.6,-66535.0,-76803.0,-88944.0,-232282.0,,,,,,,,,,
edges_up_a,13.2,-30471.0,-30797.0,-64674.0,-125942.0,3.0,2.0,3.0,3.0,3.0,,,,,
edges_up_b,12.9,-27958.0,-26261.0,-52908.0,-107127.0,4.0,2.0,3.0,3.0,4.0,,,,,
edges_up_c,12.0,-16720.0,-10179.0,-35084.0,-61983.0,5.0,3.0,4.0,4.0,4.0,,,,,
skew_up,12.1,-66312.0,-78664.0,-89440.0,-234416.0,,,,,,5.0,3.0,3.0,,
slow_fv,12.1,-66258.0,-87135.0,-119838.0,-273231.0,,,,,,,,,0.01,0.02
fast_fv,12.1,-17696.0,-4112.0,-24026.0,-45834.0,,,,,,,,,0.05,0.1
