day,q00,q11,r,h,rmse,hit,pnl,pos
-1,0.05,0.001,1.0,10,1.6141183809749895,0.388967009194159,80101.5,80
-1,0.05,0.001,1.0,12,1.684010814002287,0.3775013520822066,79904.5,80
-1,0.05,0.001,1.0,15,1.7739450091971167,0.367658193618172,79591.5,80
-1,0.05,0.001,1.0,20,1.9500169245302268,0.3563007030827474,79424.0,80
-1,0.05,0.001,1.0,25,2.1547749362037076,0.3547863710113575,79369.5,80
-1,0.05,0.001,2.0,10,1.5254677257882845,0.4015143320713899,80197.0,80
-1,0.05,0.001,2.0,12,1.5766211586832124,0.3881016765819362,80094.5,80
-1,0.05,0.001,2.0,15,1.6406794230090809,0.3793401838831801,79861.5,80
-1,0.05,0.001,2.0,20,1.7719379144550431,0.36365603028664145,79491.5,80
-1,0.05,0.001,2.0,25,1.9279702742124603,0.3577068685776095,79398.5,80
-1,0.05,0.001,4.0,10,1.4590819327689482,0.41416982152514875,80227.5,80
-1,0.05,0.001,4.0,12,1.4961816337079892,0.39740400216333155,80150.5,80
-1,0.05,0.001,4.0,15,1.5413571779259931,0.38539751216873985,80035.0,80
-1,0.05,0.001,4.0,20,1.638351164666477,0.3724175229853975,79685.0,80
-1,0.05,0.001,4.0,25,1.7553800390655885,0.3623580313683072,79436.0,80
-1,0.05,0.001,8.0,10,1.4100343722165456,0.42552731206057326,80209.0,80
-1,0.05,0.001,8.0,12,1.43692172461164,0.4083288263926447,80093.0,80
-1,0.05,0.001,8.0,15,1.4687242486185148,0.3891833423472147,80007.0,80
-1,0.05,0.001,8.0,20,1.5401079013367303,0.3777176852352623,79839.5,80
-1,0.05,0.001,8.0,25,1.6266977946715062,0.3680908599242834,79546.5,80
-1,0.05,0.005,1.0,10,1.981716990065549,0.3497025419145484,79252.5,80
-1,0.05,0.005,1.0,12,2.14133206018181,0.3402920497566252,79144.0,80
-1,0.05,0.005,1.0,15,2.363831817883487,0.3307733910221741,78908.5,80
-1,0.05,0.005,1.0,20,2.766482465174244,0.32114656571119526,78420.0,80
-1,0.05,0.005,1.0,25,3.20692071784433,0.31498107084910765,78127.0,80
-1,0.05,0.005,2.0,10,1.7977478968562919,0.3722011898323418,79693.5,80
-1,0.05,0.005,2.0,12,1.9152994392845193,0.36149269875608436,79416.0,80
-1,0.05,0.005,2.0,15,2.076134526115202,0.3519740400216333,79258.0,80
-1,0.05,0.005,2.0,20,2.3769962619838245,0.344835045970795,79173.0,80
-1,0.05,0.005,2.0,25,2.713863717048588,0.3400757166035695,78980.0,80
-1,0.05,0.005,4.0,10,1.6584094242674325,0.38885884261763115,79992.5,80
-1,0.05,0.005,4.0,12,1.7433109773138045,0.37739318550567874,79770.0,80
